rule_name,severity,user_id,timestamp,description,recommendation,risk_score,risk_level
brute_force_attempt,Critical,user26,2026-03-28 15:53:13.477129,user26 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user16,2026-03-28 14:57:13.477129,user16 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,admin2,2026-03-28 11:09:13.477129,admin2 had 14 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user15,2026-03-28 09:33:13.477129,user15 had 12 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user28,2026-03-28 08:29:13.477129,user28 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user18,2026-03-28 02:52:13.477129,user18 had 17 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user6,2026-03-28 01:34:13.477129,user6 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user9,2026-03-27 22:33:13.477129,user9 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user7,2026-03-27 20:56:13.477129,user7 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user5,2026-03-27 15:56:13.477129,user5 had 20 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user13,2026-03-27 15:35:13.477129,user13 had 15 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user25,2026-03-27 15:29:13.477129,user25 had 5 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user14,2026-03-27 13:30:13.477129,user14 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user4,2026-03-27 12:51:13.477129,user4 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user23,2026-03-27 09:18:13.477129,user23 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user19,2026-03-27 08:21:13.477129,user19 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user12,2026-03-27 08:02:13.477129,user12 had 12 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user11,2026-03-27 05:45:13.477129,user11 had 5 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user20,2026-03-26 21:25:13.477129,user20 had 12 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user24,2026-03-26 20:37:13.477129,user24 had 12 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user10,2026-03-26 14:36:13.477129,user10 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user21,2026-03-25 14:38:13.477129,user21 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user27,2026-03-25 06:34:13.477129,user27 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user2,2026-03-24 22:44:13.477129,user2 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user17,2026-03-24 11:23:13.477129,user17 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,High,user1,2026-03-28 16:34:13.477129,user1 had 7 failed logins with no success.,Reset credentials and block source IP immediately.,100,High
impossible_travel,High,user5,2026-03-28 13:25:13.477129,user5 logged in from UK and then IN within 1.1 hours.,Verify user identity and enforce MFA.,100,High
brute_force_attempt,High,user3,2026-03-28 11:24:13.477129,user3 had 13 failed logins with no success.,Reset credentials and block source IP immediately.,100,High
impossible_travel,High,user26,2026-03-28 08:58:13.477129,user26 logged in from UK and then CA within 0.4 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user19,2026-03-26 17:11:13.477129,user19 logged in from US and then UK within 1.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user28,2026-03-26 06:52:13.477129,user28 logged in from US and then CA within 0.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user22,2026-03-25 16:00:13.477129,user22 logged in from US and then CA within 0.5 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user27,2026-03-24 05:33:13.477129,user27 logged in from US and then UK within 1.0 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,admin2,2026-03-22 14:29:13.477129,admin2 logged in from IN and then CA within 0.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user18,2026-03-21 07:54:13.477129,user18 logged in from US and then IN within 0.0 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user21,2026-03-21 05:41:13.477129,user21 logged in from UK and then US within 1.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,admin1,2026-03-20 23:54:13.477129,admin1 logged in from IN and then CA within 1.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user1,2026-03-20 04:11:13.477129,user1 logged in from IN and then US within 1.5 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user13,2026-03-19 17:42:13.477129,user13 logged in from DE and then UK within 0.3 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user17,2026-03-19 08:31:13.477129,user17 logged in from US and then DE within 0.5 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user12,2026-03-19 06:19:13.477129,user12 logged in from US and then RU within 0.5 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user3,2026-03-19 05:02:13.477129,user3 logged in from DE and then US within 1.9 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user24,2026-03-18 06:33:13.477129,user24 logged in from CA and then DE within 0.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user20,2026-03-18 03:15:13.477129,user20 logged in from IN and then US within 1.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user25,2026-03-16 01:52:13.477129,user25 logged in from CA and then US within 1.8 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user9,2026-03-15 21:17:13.477129,user9 logged in from CA and then UK within 1.9 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user23,2026-03-15 19:38:13.477129,user23 logged in from CA and then US within 0.2 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user10,2026-03-15 17:58:13.477129,user10 logged in from IN and then CA within 0.5 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user8,2026-03-15 12:31:13.477129,user8 logged in from DE and then US within 0.1 hours.,Verify user identity and enforce MFA.,100,High
impossible_travel,High,user2,2026-03-15 04:39:13.477129,user2 logged in from IN and then US within 0.7 hours.,Verify user identity and enforce MFA.,100,High
excessive_login_frequency,Medium,user25,2026-03-27 05:23:13.477129,user25 made 36 login attempts within a 1-hour window.,Investigate automation or credential stuffing. Apply rate limiting.,100,High
off_hours_admin_access,Medium,admin2,2026-03-25 02:55:13.477129,Admin admin2 logged in at 02:00 outside business hours.,Confirm if maintenance was scheduled; review access logs.,100,High
off_hours_admin_access,Medium,admin1,2026-03-24 05:52:13.477129,Admin admin1 logged in at 05:00 outside business hours.,Confirm if maintenance was scheduled; review access logs.,100,High
